DATA-JOGO;JOGO_ID;CASA_ID;PONTOS_CASA;ARREM_PCT_CASA;LANC_LIV_PCT_CASA;ARREM_3PT_PCT_CASA;ASSISTS_CASA;REBOTES_CASA;VISITANTE_ID;PONTOS_VISIT;ARREM_PCT_VISIT;LANC_LIV_PCT_VISIT;ARREM_3PT_PCT_VISIT;ASSISTS_VISIT;REBOTES_VISIT;TIME_VENCEDOR
17/01/2020;21900625;1610612742;120.0;0.438;0.7859999999999999;0.426;19.0;43.0;1610612757;112.0;0.518;0.682;0.3;25.0;40.0;CASA
16/01/2020;21900614;1610612752;98.0;0.411;0.667;0.308;21.0;40.0;1610612756;121.0;0.511;0.833;0.4;31.0;53.0;VISITANTE
16/01/2020;21900615;1610612749;128.0;0.494;0.703;0.516;21.0;50.0;1610612738;123.0;0.439;0.815;0.306;16.0;43.0;CASA
16/01/2020;21900616;1610612740;138.0;0.5479999999999999;0.7140000000000001;0.423;29.0;45.0;1610612762;132.0;0.46;0.7809999999999999;0.385;23.0;43.0;CASA
16/01/2020;21900617;1610612744;131.0;0.442;0.871;0.444;36.0;42.0;1610612743;134.0;0.47;0.885;0.486;31.0;56.0;VISITANTE
16/01/2020;21900618;1610612746;122.0;0.495;0.7;0.438;29.0;59.0;1610612753;95.0;0.391;0.563;0.333;24.0;42.0;CASA
15/01/2020;21900604;1610612738;103.0;0.494;0.6;0.321;21.0;44.0;1610612765;116.0;0.603;0.526;0.375;30.0;34.0;VISITANTE
15/01/2020;21900605;1610612755;117.0;0.511;0.64;0.3670000000000001;25.0;49.0;1610612751;106.0;0.4370000000000001;0.6;0.48;20.0;44.0;CASA
15/01/2020;21900606;1610612748;106.0;0.466;0.5379999999999999;0.425;26.0;49.0;1610612759;100.0;0.438;0.8;0.303;22.0;41.0;CASA
15/01/2020;21900607;1610612741;115.0;0.506;0.682;0.368;26.0;41.0;1610612764;106.0;0.468;0.8079999999999999;0.407;25.0;38.0;CASA
15/01/2020;21900608;1610612750;99.0;0.4320000000000001;0.75;0.393;26.0;45.0;1610612754;104.0;0.518;0.75;0.304;27.0;45.0;VISITANTE
15/01/2020;21900609;1610612760;121.0;0.506;0.95;0.381;32.0;31.0;1610612761;130.0;0.612;0.733;0.556;33.0;36.0;VISITANTE
15/01/2020;21900610;1610612743;100.0;0.481;0.6;0.321;28.0;40.0;1610612766;86.0;0.407;0.5710000000000001;0.343;28.0;42.0;CASA
15/01/2020;21900611;1610612745;107.0;0.396;0.652;0.327;24.0;50.0;1610612757;117.0;0.4320000000000001;0.828;0.306;22.0;58.0;VISITANTE
15/01/2020;21900612;1610612758;123.0;0.521;0.55;0.364;28.0;42.0;1610612742;127.0;0.511;0.833;0.325;24.0;47.0;VISITANTE
15/01/2020;21900613;1610612747;118.0;0.495;0.636;0.395;34.0;48.0;1610612753;119.0;0.457;0.7929999999999999;0.385;22.0;48.0;VISITANTE
14/01/2020;21900598;1610612737;123.0;0.495;0.85;0.452;25.0;46.0;1610612756;110.0;0.46;0.813;0.2;20.0;40.0;CASA
14/01/2020;21900599;1610612751;107.0;0.5;0.6;0.308;22.0;43.0;1610612762;118.0;0.5;0.867;0.361;19.0;41.0;VISITANTE
14/01/2020;21900600;1610612763;121.0;0.505;0.8420000000000001;0.35100000000000003;29.0;42.0;1610612745;110.0;0.43;0.917;0.311;18.0;41.0;CASA
14/01/2020;21900601;1610612749;128.0;0.489;0.821;0.417;27.0;59.0;1610612752;102.0;0.353;0.731;0.297;26.0;49.0;CASA
14/01/2020;21900602;1610612744;97.0;0.448;0.769;0.281;27.0;36.0;1610612742;124.0;0.51;0.619;0.35100000000000003;23.0;53.0;VISITANTE
14/01/2020;21900603;1610612746;128.0;0.521;0.7140000000000001;0.395;29.0;53.0;1610612739;103.0;0.418;0.867;0.378;25.0;40.0;CASA
13/01/2020;21900591;1610612765;110.0;0.404;0.792;0.344;27.0;43.0;1610612740;117.0;0.417;0.815;0.34600000000000003;23.0;61.0;VISITANTE
13/01/2020;21900592;1610612754;101.0;0.384;0.8059999999999999;0.385;24.0;50.0;1610612755;95.0;0.416;0.789;0.182;17.0;52.0;CASA
13/01/2020;21900593;1610612738;113.0;0.47;0.897;0.391;28.0;43.0;1610612741;101.0;0.457;0.8079999999999999;0.24;16.0;38.0;CASA
13/01/2020;21900594;1610612750;104.0;0.418;0.762;0.343;23.0;37.0;1610612760;117.0;0.5;0.885;0.4;25.0;51.0;VISITANTE
13/01/2020;21900595;1610612757;115.0;0.506;0.789;0.4320000000000001;26.0;47.0;1610612766;112.0;0.444;0.778;0.474;24.0;42.0;CASA
13/01/2020;21900596;1610612758;112.0;0.517;0.909;0.387;25.0;44.0;1610612753;114.0;0.435;0.833;0.31;17.0;46.0;VISITANTE
13/01/2020;21900597;1610612747;128.0;0.545;0.75;0.3670000000000001;33.0;45.0;1610612739;99.0;0.447;0.667;0.28;21.0;40.0;CASA
12/01/2020;21900584;1610612752;124.0;0.511;0.821;0.29;24.0;39.0;1610612748;121.0;0.5379999999999999;0.821;0.4;24.0;39.0;CASA
12/01/2020;21900585;1610612764;116.0;0.505;0.882;0.318;28.0;37.0;1610612762;127.0;0.5329999999999999;0.84;0.333;24.0;44.0;VISITANTE
12/01/2020;21900586;1610612751;108.0;0.532;0.552;0.385;25.0;62.0;1610612737;86.0;0.33;0.909;0.25;23.0;33.0;CASA
12/01/2020;21900587;1610612761;104.0;0.406;0.818;0.354;30.0;45.0;1610612759;105.0;0.4370000000000001;0.733;0.219;24.0;51.0;VISITANTE
12/01/2020;21900588;1610612763;122.0;0.45;0.84;0.314;33.0;60.0;1610612744;102.0;0.38;0.7140000000000001;0.5;23.0;47.0;CASA
12/01/2020;21900589;1610612743;114.0;0.481;0.784;0.44;24.0;44.0;1610612746;104.0;0.452;0.769;0.242;21.0;42.0;CASA
12/01/2020;21900590;1610612756;100.0;0.5;0.611;0.333;22.0;51.0;1610612766;92.0;0.419;0.667;0.229;25.0;37.0;CASA
11/01/2020;21900577;1610612745;139.0;0.516;0.7929999999999999;0.4;29.0;58.0;1610612750;109.0;0.379;0.667;0.271;28.0;44.0;CASA
11/01/2020;21900578;1610612738;140.0;0.55;0.889;0.483;29.0;53.0;1610612740;105.0;0.4;0.611;0.311;29.0;43.0;CASA
11/01/2020;21900579;1610612765;99.0;0.462;0.667;0.321;22.0;42.0;1610612741;108.0;0.506;0.929;0.314;24.0;38.0;VISITANTE
11/01/2020;21900580;1610612760;110.0;0.467;0.882;0.29;23.0;37.0;1610612747;125.0;0.515;0.8;0.469;21.0;54.0;VISITANTE
11/01/2020;21900581;1610612742;109.0;0.506;0.667;0.407;22.0;54.0;1610612755;91.0;0.378;0.667;0.243;22.0;43.0;CASA
11/01/2020;21900582;1610612743;103.0;0.4320000000000001;0.722;0.205;23.0;42.0;1610612739;111.0;0.494;0.846;0.324;22.0;55.0;VISITANTE
11/01/2020;21900583;1610612757;101.0;0.389;0.81;0.278;17.0;48.0;1610612749;122.0;0.456;0.7;0.368;21.0;60.0;VISITANTE
10/01/2020;21900567;1610612764;111.0;0.375;0.607;0.345;26.0;57.0;1610612737;101.0;0.461;0.5;0.241;19.0;56.0;CASA
10/01/2020;21900569;1610612752;111.0;0.46;0.7;0.185;26.0;46.0;1610612740;123.0;0.5579999999999999;0.529;0.474;35.0;43.0;VISITANTE
10/01/2020;21900568;1610612751;117.0;0.484;0.632;0.341;31.0;51.0;1610612748;113.0;0.518;0.857;0.241;26.0;40.0;CASA
10/01/2020;21900570;1610612741;105.0;0.463;0.813;0.439;16.0;36.0;1610612754;116.0;0.5710000000000001;0.643;0.3670000000000001;31.0;46.0;VISITANTE
10/01/2020;21900571;1610612763;134.0;0.52;0.875;0.421;39.0;49.0;1610612759;121.0;0.483;0.87;0.425;29.0;37.0;CASA
10/01/2020;21900573;1610612756;98.0;0.418;0.885;0.321;19.0;44.0;1610612753;94.0;0.371;0.792;0.273;15.0;49.0;CASA
10/01/2020;21900574;1610612762;109.0;0.506;0.7859999999999999;0.429;28.0;40.0;1610612766;92.0;0.467;0.737;0.308;20.0;37.0;CASA
10/01/2020;21900572;1610612742;114.0;0.406;0.6759999999999999;0.289;19.0;47.0;1610612747;129.0;0.528;0.7809999999999999;0.417;18.0;49.0;VISITANTE
10/01/2020;21900575;1610612758;106.0;0.458;0.8;0.28600000000000003;26.0;45.0;1610612749;127.0;0.495;0.767;0.256;29.0;52.0;VISITANTE
10/01/2020;21900576;1610612746;109.0;0.488;0.727;0.282;27.0;54.0;1610612744;100.0;0.385;0.72;0.205;28.0;46.0;CASA
09/01/2020;21900563;1610612765;112.0;0.49;0.625;0.3;20.0;46.0;1610612739;115.0;0.527;0.7;0.25;24.0;39.0;VISITANTE
09/01/2020;21900564;1610612755;109.0;0.489;0.706;0.407;24.0;48.0;1610612738;98.0;0.4320000000000001;1.0;0.389;17.0;38.0;CASA
09/01/2020;21900565;1610612750;116.0;0.494;0.7140000000000001;0.406;25.0;56.0;1610612757;102.0;0.365;0.677;0.297;14.0;41.0;CASA
09/01/2020;21900566;1610612760;113.0;0.494;0.8;0.344;22.0;52.0;1610612745;92.0;0.382;0.929;0.275;16.0;39.0;CASA
08/01/2020;21900554;1610612738;114.0;0.416;0.9;0.342;26.0;39.0;1610612759;129.0;0.552;0.923;0.31;28.0;49.0;VISITANTE
08/01/2020;21900555;1610612766;110.0;0.442;0.731;0.405;30.0;50.0;1610612761;112.0;0.447;0.7;0.389;34.0;46.0;VISITANTE
08/01/2020;21900556;1610612754;108.0;0.476;0.76;0.333;25.0;37.0;1610612748;122.0;0.531;0.8;0.421;28.0;41.0;VISITANTE
08/01/2020;21900557;1610612753;123.0;0.494;0.794;0.37;24.0;51.0;1610612764;89.0;0.429;0.579;0.261;24.0;40.0;CASA
08/01/2020;21900558;1610612737;115.0;0.368;0.889;0.295;20.0;54.0;1610612745;122.0;0.424;0.7559999999999999;0.289;22.0;59.0;VISITANTE
